+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 27-03-2019_21-33-45

	normalVector array
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
-0.707107 0.707107 
-0.707107 -0.707107 
0 1 
-0.724131 -0.689662 
0.724131 -0.689662 
0 1 
1 -0 
-0.724136 0.689657 
-0.724139 -0.689654 
0 -1 
1 -0 
-0.724136 0.689657 
-0.724141 -0.689652 
0 -1 
1 -0 
-0.724136 0.689657 
-0.724141 -0.689652 
0 -1 
1 -0 
-0.724141 0.689652 
-0.724136 -0.689657 
0 -1 
1 -0 
-0.724141 0.689652 
-0.724136 -0.689657 
0 -1 
1 -0 
-0.724141 0.689652 
-0.724136 -0.689657 
0 -1 
1 -0 
-0.724131 0.689662 
-0.724136 -0.689657 
0 -1 
1 -0 
-0.724131 0.689662 
-0.724131 -0.689662 
0 -1 
1 -0 
-0.724131 0.689662 
-0.724179 -0.689612 
0 -1 
1 -0 
-0.724131 0.689662 
-0.724131 -0.689662 
0 -1 
1 -0 
-0.724131 0.689662 
-0.724131 -0.689662 
0 -1 
1 -0 
-0.724179 0.689612 
-0.724131 -0.689662 
0 -1 
1 -0 
-0.724131 0.689662 
-0.724131 -0.689662 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
1 -0 
-0.707107 -0.707107 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
1 -0 
0.707107 -0.707107 
0 1 
-0.707107 -0.707107 
0.707107 -0.707107 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
0 -1 
1 -0 
-0.707107 0.707107 
-0.707107 -0.707107 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724139 -0.689654 
0 1 
0.724139 -0.689654 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724179 -0.689612 
0 1 
0.724179 -0.689612 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724179 0.689612 
1 -0 
-0.724179 -0.689612 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0.724131 -0.689662 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724139 -0.689654 
0 1 
0.724139 -0.689654 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724179 -0.689612 
0 1 
0.724179 -0.689612 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724179 0.689612 
1 -0 
-0.724179 -0.689612 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0.724131 -0.689662 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724139 -0.689654 
0 1 
0.724139 -0.689654 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724179 -0.689612 
0 1 
0.724179 -0.689612 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724179 0.689612 
1 -0 
-0.724179 -0.689612 
-0.724131 -0.689662 
0 1 
0.724131 -0.689662 
-0.724131 0.689662 
1 -0 
-0.724131 -0.689662 
-0.724131 -0.689662 
0.724131 -0.689662 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724139 -0.689654 
0 1 
0.724139 -0.689654 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724136 0.689657 
1 -0 
-0.724136 -0.689657 
-0.724141 -0.689652 
0 1 
0.724141 -0.689652 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
-0.724141 0.689652 
1 -0 
-0.724141 -0.689652 
-0.724136 -0.689657 
0 1 
0.724136 -0.689657 
